Day 01,47.2
Day 02,69.1
Day 03,0
Day 04,102
Day 05,67.4
Day 06,73.9
Day 07,76
Day 08,0
Day 09,96.8
Day 10,77.9
Day 11,101.0
Day 12,74.3
Day 13,114.0
Day 14,92.3
Day 15,54.4
Day 16,28.8
Day 17,103.0
Day 18,0.0
Day 19,84.8
Day 20,96.6
Day 21,96.7
Day 22,104.0
Day 23,98.4
Day 24,103.0
